death_prob,vax_effect,viral_age_effect,f_val
0.3045290997734042,0.3983833087010812,0.45515774542928933,0.13495000000000001
0.11497083719053196,0.6134562208107331,0.4248522823511153,0.04803000000000001
0.8553210650111606,0.1394435063717678,0.12174342291257913,0.1173
0.46674389050737036,0.7543621191908225,0.676094878107285,0.05112000000000001
0.7353521980879144,0.5843449803394664,0.5598442466241362,0.11158000000000001
0.08839848196614619,0.8581371098189629,0.6599542799398967,0.006260000000000001
0.705012276436705,0.2844955899286169,0.2554106516671223,0.13019000000000003
0.5696021427318515,0.7323769783017635,0.1814136364729587,0.07802999999999999
0.8122703384056605,0.7706007903900319,0.7485120035965,0.06411
0.26811357336552855,0.5236153590231158,0.7624495143946124,0.09211
0.29638371342681685,0.41358750611650263,0.8444187272514512,0.10673000000000002
0.22644929739653302,0.6821292461600988,0.6944314431852658,0.048600000000000004
0.07339143485416051,0.4542375523590857,0.8222261049282997,0.05327000000000001
0.10874770650029518,0.8709101411566674,0.26646580649133306,0.00506
0.4102774057479796,0.21504857573986755,0.4581666055623871,0.14201999999999998
0.6255239350079327,0.5490944481913844,0.34338540965892217,0.12066000000000003
0.47974840326409546,0.3538003611779742,0.49036659550103534,0.12998
0.27305968442088796,0.8103146256497394,0.1486049573882327,0.02633
0.3735959198024907,0.2503704390299474,0.3441965035019544,0.15496999999999997
0.3765380612920289,0.8051061447138878,0.4013615250049516,0.03159
0.819652679011479,0.16159037982604024,0.3964099247340046,0.1198
0.13418443808063918,0.7821297783485667,0.21258674563664556,0.022000000000000002
0.05467717731863398,0.3672387996392482,0.6186165842462147,0.06536000000000002
0.292172576435161,0.7304846192974125,0.5867319071523946,0.04891000000000001
0.48524928656612004,0.8398260036579329,0.22863432820561588,0.028839999999999998
0.10707957422410022,0.7208244753225411,0.5504219233453701,0.02595
0.1727131551013818,0.7769219507326609,0.7779856915264636,0.0235
0.8941407760966515,0.6505455266424239,0.26440436383917554,0.11063000000000002
0.3071526249366522,0.7405254702683787,0.48843512294571423,0.04413
0.8048715935516543,0.15630355047514127,0.401325772156092,0.12013
0.5148689526512009,0.6228808706693723,0.5984323323383854,0.09213
0.566751797773075,0.4958840438367752,0.668756708963954,0.11400000000000002
0.7724822634949511,0.24650888706860283,0.3752962751638689,0.12442
0.17813305381663874,0.2529405079690714,0.14498375961599844,0.257
0.25845420352825355,0.8583068330668218,0.8617754519689362,0.01548
0.298276995963881,0.4440816219996987,0.5980100761267418,0.11564
0.5354550598007775,0.765907944186507,0.32042226039056537,0.05843000000000002
0.7501560126124365,0.630048721464225,0.5716544892852891,0.10394
0.13160113120898348,0.6950777931045081,0.5547184315644799,0.033530000000000004
0.27658281896971726,0.5360103567425422,0.1764959746962957,0.11541
0.38355517049258325,0.23510661052880935,0.3016033132554269,0.16014999999999996
0.16387561667737033,0.57187235566486,0.8538246177783964,0.05774000000000001
0.5659845563964934,0.39219911435506094,0.6844848376536045,0.11978000000000001
0.2914682708349566,0.8653576598734297,0.7801646666398565,0.01665
0.5885623245868378,0.6898183796466248,0.2863716693027021,0.08761
