death_prob,vul_penalty,vax_effect,viral_age_effect,immune_adaptation_effect,infection_prob,vax_harm_score,deaths_vax,deaths_no_vax,steps_vax,steps_no_vax,auc_vax,auc_no_vax,delta_auc,non_vul_proportion_dead_delta,vulnerable_proportion_dead_delta,seeds,viral_age_delta,immunity_delta,total_unique_infected_delta,total_infections_delta,vul_infections_delta,non_vul_infections_delta,avg_reinfections_delta
0.8990774059174242,2,0.11286379476733945,0.12772488049185995,0.05,0.25,-0.00384,0.11959000000000002,0.11575000000000003,5.68,3.73,0.13504000000000002,0.04065999999999999,0.09437999999999999,0.002409880494049452,0.01718767172272585,"(np.float64(433200466.0), np.float64(433200466.0))",0.06809,0.0027700000000000003,4.25,4.84,1.1,3.74,0.0018428819777978633
0.017234904005896775,2,0.12762867380690343,0.8840275887225849,0.05,0.25,0.00599,0.03883999999999999,0.04483000000000001,89.14,90.33,44.02507000000001,51.57147499999999,-7.546404999999998,-0.006526730111417895,-0.0009654207556456276,"(np.float64(2590810906.0), np.float64(2590810906.0))",0.18122,-0.06032000000000002,-1.47,-75.19,-1.655,-73.535,-0.1423985704449794
0.8958625607035948,2,0.10404445345568734,0.11109190255221667,0.05,0.25,-0.00315,0.12060000000000003,0.11745000000000001,3.965,3.03,0.034535,0.022355,0.01218,0.0027473548390723967,0.007658683140420778,"(np.float64(3444535325.0), np.float64(3444535325.0))",0.00341,0.0,1.575,1.575,0.16,1.415,0.0
0.8952102697048234,2,0.8275405790163572,0.8881531215246231,0.05,0.25,0.06428,0.04623,0.11051000000000002,11.385,63.245,0.19390999999999997,12.354175,-12.160264999999999,-0.0712903404066609,-0.00144206108724778,"(np.float64(2210353764.0), np.float64(2210353764.0))",-5.07873,-0.45494,-299.385,-448.73,-38.56,-410.17,-0.38393457391796815
0.02125239226130031,2,0.10528633131892083,0.10888021015186303,0.05,0.25,0.06685000000000002,0.30155,0.36840000000000006,142.77,143.795,38.86394,42.452844999999996,-3.5889049999999996,-0.07381648430256478,-0.007700504939605648,"(np.float64(4111316422.0), np.float64(4111316422.0))",0.7977699999999999,0.09000000000000002,-1.63,3.77,0.445,3.325,0.016036339465417083
0.89981206478851,2,0.8665368249749361,0.11903106447788449,0.05,0.25,0.07986,0.0371,0.11696000000000001,8.15,8.3,0.15731,0.09595000000000001,0.06136000000000001,-0.08994873680010686,0.010227913577919117,"(np.float64(4210538041.0), np.float64(4210538041.0))",-0.04609,0.06567,-7.57,-7.71,0.58,-8.29,-3.540757853215393e-05
0.8986786220496541,2,0.12332818379292823,0.8918137416908026,0.05,0.25,0.00020999999999999958,0.11055,0.11076000000000001,63.205,63.64,13.762734999999997,16.01856,-2.255825,-0.0004938925959224392,0.001755268458456826,"(np.float64(583245978.0), np.float64(583245978.0))",-0.51526,0.015530000000000004,-30.815,-39.265,-1.575,-37.69,-9.488209966170835e-05
0.02926702132901518,2,0.12786196467529037,0.8892996558132433,0.05,0.25,0.008980000000000002,0.05367000000000001,0.06265000000000001,89.685,89.575,42.72606,49.45665999999999,-6.730599999999999,-0.010497341883146572,0.006188878489705273,"(np.float64(953285691.0), np.float64(953285691.0))",0.26592999999999994,-0.017809999999999993,-1.58,-58.385,-2.38,-56.005,-0.10860985767001718
0.8584707770591062,2,0.8727741702232518,0.8894954530017731,0.05,0.25,0.08585000000000001,0.02436,0.11021,7.105,63.645,0.08840500000000003,12.075215,-11.98681,-0.09515298818617027,-0.0019180999443617185,"(np.float64(1914094090.0), np.float64(1914094090.0))",-4.95768,-0.43622999999999995,-297.935,-443.855,-32.815,-411.04,-0.3808705384342515
0.01932867364293093,2,0.8919006890207383,0.11208688799880938,0.05,0.25,0.24124,0.00082,0.24206000000000003,6.63,130.415,0.10437000000000002,40.4545,-40.35013000000001,-0.2662449165446287,-0.017268667229396815,"(np.float64(164970903.0), np.float64(164970903.0))",-9.99028,-2.1334,-441.715,-1303.235,-101.48,-1201.755,-1.7418586434173955
0.017914635098312686,2,0.11160976281452593,0.8964419573936379,0.05,0.25,0.005350000000000001,0.039580000000000004,0.04493,88.475,89.04,44.167745000000004,50.752255000000005,-6.584509999999998,-0.006670282490819504,0.007119730015889598,"(np.float64(2191643416.0), np.float64(2191643416.0))",0.26360000000000006,-0.01577000000000003,-1.205,-50.1,-2.62,-47.48,-0.09383508743477506
0.8333676169968756,2,0.11080179951074412,0.1159433783896068,0.05,0.25,-0.00316,0.12063,0.11747000000000002,4.565,3.575,0.04594500000000001,0.03054,0.015405000000000002,0.0019929009211603903,0.0125279193073745,"(np.float64(3161123599.0), np.float64(3161123599.0))",0.0035900000000000003,0.0,1.58,1.58,0.62,0.96,0.0
0.8776788094070755,2,0.8759893140883681,0.8926309374198982,0.05,0.25,0.08466999999999998,0.02366,0.10833000000000002,7.34,63.325,0.087805,11.587665,-11.499859999999998,-0.0942162049225625,0.0012305523190150728,"(np.float64(1499055674.0), np.float64(1499055674.0))",-4.7759,-0.40715,-290.83,-427.48,-30.335,-397.145,-0.3635076240447823
0.036123944579447585,2,0.10653871701169981,0.14375802215754546,0.05,0.25,0.0781,0.3157,0.39379999999999993,121.655,125.8,31.273365000000002,34.281515000000006,-3.0081500000000005,-0.0834176750955883,-0.01528306250936799,"(np.float64(2911878614.0), np.float64(2911878614.0))",0.68187,0.07480999999999999,-4.205,-1.43,-1.625,0.195,0.015409195962801332
0.8660772666282167,2,0.8973856171781269,0.11409067434464194,0.05,0.25,0.09555,0.01993,0.11548000000000001,5.805,6.225,0.08185500000000001,0.06385500000000001,0.018000000000000002,-0.10605064295606435,-0.0005498383939708235,"(np.float64(3210134934.0), np.float64(3210134934.0))",-0.022869999999999998,0.07846,-8.58,-8.545,-0.09,-8.455,0.0006478382529008409
