death_prob,vul_penalty,vax_effect,viral_age_effect,immune_adaptation_effect,infection_prob,vax_harm_score,deaths_vax,deaths_no_vax,steps_vax,steps_no_vax,auc_vax,auc_no_vax,delta_auc,non_vul_proportion_dead_delta,vulnerable_proportion_dead_delta,seeds,viral_age_delta,immunity_delta,total_unique_infected_delta,total_infections_delta,vul_infections_delta,non_vul_infections_delta,avg_reinfections_delta,actual_diff
0.894674899733948,2,0.10522943132323848,0.11007349117175319,0.05,0.25,-0.001409999999999999,0.11906,0.11765,4.04,3.06,0.036320000000000005,0.022185,0.014135000000000002,0.0010898516332072915,0.004630255868040487,"(np.float64(2596149640.0), np.float64(2596149640.0))",0.00387,0.0,0.705,0.705,0.005,0.7,0.0,0.001409999999999999
0.8937118986734717,2,0.1063342933349074,0.1372547950888155,0.05,0.25,-0.00504,0.12021000000000001,0.11517000000000001,5.12,3.135,0.07914500000000001,0.022750000000000003,0.056395,0.004154885337730338,0.014589102414934163,"(np.float64(1458488983.0), np.float64(1458488983.0))",0.037489999999999996,0.0015000000000000002,3.64,3.995,0.68,3.315,0.0019022881880024745,0.00504
0.8967748634499363,2,0.11820629121680135,0.12246396607100599,0.05,0.25,-0.0010700000000000002,0.1175,0.11643,3.985,3.305,0.036000000000000004,0.023400000000000008,0.012600000000000002,0.0006077666630288825,0.005566918266258885,"(np.float64(4080992442.0), np.float64(4080992442.0))",0.00103,-1e-05,0.53,0.53,0.175,0.355,0.0,0.0010700000000000002
0.8996641448130105,2,0.11307791712198113,0.10768766991310255,0.05,0.25,-0.00255,0.11939000000000002,0.11684000000000001,3.715,3.105,0.0349,0.021195000000000006,0.013704999999999998,0.0029423191956053554,-0.00047418218888469144,"(np.float64(1219175223.0), np.float64(1219175223.0))",0.00409,0.0,1.275,1.275,0.015,1.26,0.0,0.00255
0.8993489380269891,2,0.11103485725892083,0.8818451520590335,0.05,0.25,-0.00046999999999999944,0.11418,0.11371,62.765,64.085,12.967615,16.495865,-3.5282500000000003,0.000407118272373123,0.0020463587866018655,"(np.float64(3620001788.0), np.float64(3620001788.0))",-0.76678,-0.05566000000000001,-40.445,-73.69,-4.285,-69.405,-0.04332284598223774,0.00046999999999999944
0.895272222744707,2,0.11166306973621297,0.10041075921181611,0.05,0.25,-0.0016500000000000015,0.11796000000000001,0.11631,3.93,3.055,0.035230000000000004,0.022275000000000003,0.012955000000000001,0.0013987603241321746,0.004293559055641349,"(np.float64(2133635516.0), np.float64(2133635516.0))",0.0024300000000000003,0.0,0.825,0.825,0.185,0.64,0.0,0.0016500000000000015
0.8982267419378075,2,0.10827854078494879,0.1176805303316555,0.05,0.25,-0.0005500000000000001,0.11750000000000002,0.11695,4.745,3.05,0.089155,0.022010000000000002,0.067145,0.0002651862709195528,0.001984875979627694,"(np.float64(2693098226.0), np.float64(2693098226.0))",0.05251999999999999,0.00193,2.005,2.47,0.475,1.995,0.0019051557761235183,0.0005500000000000001
0.8991590220705729,2,0.10188634261444802,0.11010077349961743,0.05,0.25,-0.0012199999999999995,0.11763000000000001,0.11641,4.165,2.95,0.04237500000000001,0.020945000000000005,0.021429999999999998,0.0007812085093034604,0.004422710493630732,"(np.float64(3109863153.0), np.float64(3109863153.0))",0.012469999999999998,0.00029,0.955,0.98,0.29,0.69,0.0001736111111111116,0.0012199999999999995
0.8876744282652168,2,0.1033311625741777,0.10669259992979052,0.05,0.25,-0.000720000000000001,0.11817,0.11745000000000001,4.205,3.325,0.07422999999999998,0.04421,0.030019999999999988,0.00020846914996237352,0.005954059069954917,"(np.float64(766328143.0), np.float64(766328143.0))",0.014490000000000003,0.00113,0.635,0.97,0.205,0.765,0.001166772453189463,0.000720000000000001
0.8885199731062297,2,0.12672041772925777,0.8974143849589241,0.05,0.25,-0.00193,0.11030000000000001,0.10837,65.335,65.105,14.146444999999998,17.27308,-3.126635,0.0014036059539644903,0.006155313701928058,"(np.float64(2334495865.0), np.float64(2334495865.0))",-0.57565,-0.028440000000000003,-32.36,-60.105,-1.43,-58.675,-0.035586017021419634,0.00193
0.8631103588564497,2,0.10162427034107982,0.12319817650535302,0.05,0.25,-0.0031700000000000005,0.11999,0.11682000000000001,4.66,4.74,0.05679,0.15673,-0.09994000000000001,0.0021236160726032195,0.012190568460408691,"(np.float64(2377639633.0), np.float64(2377639633.0))",-0.08803999999999998,-0.0034899999999999996,-1.365,-2.36,0.25,-2.61,-0.0038856314610248755,0.0031700000000000005
0.8950928717803728,2,0.11363631529808932,0.8865078169646138,0.05,0.25,-0.0011400000000000004,0.11138000000000002,0.11024,65.015,62.52,14.2804,15.341045,-1.060645,0.0002984464881492646,0.008818740237600183,"(np.float64(1711005984.0), np.float64(1711005984.0))",-0.10075,0.06406000000000002,-6.665,0.425,1.3,-0.875,0.02912848621802598,0.0011400000000000004
0.8895552024951252,2,0.10108508196967386,0.12073670722416738,0.05,0.25,-0.0031000000000000003,0.11779,0.11469000000000001,4.665,3.085,0.055935000000000006,0.02176,0.034175,0.0025703793615891287,0.0071174019213979065,"(np.float64(14674999.0), np.float64(14674999.0))",0.022399999999999996,0.00063,2.24,2.36,0.47,1.89,0.0009063545150501673,0.0031000000000000003
0.8878541874109063,2,0.10570558395504853,0.8956075047284283,0.05,0.25,-0.0008299999999999996,0.11180000000000001,0.11097000000000001,64.3,65.53,14.148735000000002,16.9991,-2.8503650000000005,0.00022726524563913803,0.007678564743226845,"(np.float64(578219667.0), np.float64(578219667.0))",-0.3770499999999999,-0.02362000000000001,-24.755,-47.69,-3.18,-44.51,-0.031484252409378764,0.0008299999999999996
0.8900662439785011,2,0.10162038917107773,0.1341272281395771,0.05,0.25,-0.0015200000000000003,0.11877000000000003,0.11725000000000002,5.425,3.355,0.12109500000000001,0.023955,0.09714,0.001088535440935019,0.005118073623224293,"(np.float64(2792375386.0), np.float64(2792375386.0))",0.07781,0.00296,3.355,4.09,0.59,3.5,0.003591232105938046,0.0015200000000000003
0.8973034461882333,2,0.10750992377122347,0.8714910455954776,0.05,0.25,-0.0005900000000000002,0.11224000000000002,0.11165000000000003,64.105,62.24,13.07765,15.866340000000001,-2.7886900000000003,0.00025877227044894644,0.0028270501784854775,"(np.float64(846152530.0), np.float64(846152530.0))",-0.56387,-0.018119999999999997,-36.135,-53.525,-2.135,-51.39,-0.018460790110408878,0.0005900000000000002
0.8901374961665459,2,0.12256872116845009,0.10662832133626746,0.05,0.25,-0.0012600000000000011,0.11871000000000002,0.11745000000000001,4.17,3.61,0.037880000000000004,0.11274500000000001,-0.07486499999999999,0.0008742865079676614,0.004905660712693602,"(np.float64(573798213.0), np.float64(573798213.0))",-0.061419999999999995,-0.00308,-1.205,-2.19,-0.155,-2.035,-0.0021506550218340615,0.0012600000000000011
0.8784521575293089,2,0.10082429047497668,0.1202420600309699,0.05,0.25,-0.0033499999999999997,0.11945,0.11610000000000001,4.195,3.26,0.03732,0.025425000000000003,0.011895000000000003,0.0024019993771624963,0.011433287969388022,"(np.float64(1828998867.0), np.float64(1828998867.0))",0.0018400000000000003,0.0,1.675,1.675,0.66,1.015,0.0,0.0033499999999999997
0.8926668548989545,2,0.1039181716478022,0.8960245092082929,0.05,0.25,-0.0002499999999999995,0.11076000000000001,0.11051000000000002,65.925,64.855,15.113685,17.03256,-1.9188749999999997,0.00016559711191465058,0.000945938491352786,"(np.float64(3824418282.0), np.float64(3824418282.0))",-0.20879,0.022150000000000006,-14.555,-20.43,1.11,-21.54,0.008143114277405045,0.0002499999999999995
0.8947759830489731,2,0.10301104409212325,0.8881675055083504,0.05,0.25,-0.0020700000000000007,0.11181,0.10974,64.605,63.425,13.74678,17.020905,-3.2741249999999997,0.0018244848133193519,0.004017640187205713,"(np.float64(2443363700.0), np.float64(2443363700.0))",-0.44539,-0.04741999999999999,-28.9,-60.515,-3.065,-57.45,-0.033819323060200024,0.0020700000000000007
0.8952370461371576,2,0.10612110975453214,0.10497072619235591,0.05,0.25,-0.0023,0.11790000000000003,0.11560000000000002,3.885,3.435,0.03545,0.048395,-0.012944999999999995,0.001494072592974618,0.009755613507577515,"(np.float64(2620045311.0), np.float64(2620045311.0))",-0.024499999999999997,-0.0006900000000000001,0.3,0.125,0.355,-0.23,-0.0007415254237288138,0.0023
0.8940880718787622,2,0.10390406321459666,0.8971919270511058,0.05,0.25,-0.0009600000000000003,0.11118,0.11022000000000003,64.88,65.195,14.683950000000003,18.076214999999998,-3.392265,0.0004119090351808656,0.005952474864380357,"(np.float64(504631364.0), np.float64(504631364.0))",-0.54619,-0.04713,-31.965,-63.865,-2.12,-61.745,-0.04394514854313518,0.0009600000000000003
0.8741856558702774,2,0.10684992664409308,0.10376865421641952,0.05,0.25,-0.0031300000000000004,0.11871000000000001,0.11558,4.0,3.685,0.037340000000000005,0.035115,0.002225000000000002,0.002629919262688052,0.007308998692198536,"(np.float64(2204951854.0), np.float64(2204951854.0))",-0.012790000000000003,-0.00021999999999999998,1.15,1.11,0.43,0.68,-0.00025974025974025985,0.0031300000000000004
0.8842062747951553,2,0.10343627795594977,0.8919498341796139,0.05,0.25,-0.0023900000000000006,0.11205999999999999,0.10967000000000002,64.28,63.275,13.904639999999999,16.684515,-2.779875,0.00114873703033994,0.013770266869265985,"(np.float64(2936998514.0), np.float64(2936998514.0))",-0.45104,-0.02225999999999999,-25.16,-46.255,-2.12,-44.135,-0.01905553998241128,0.0023900000000000006
0.8934881767871535,2,0.10189386023800512,0.8824268597890922,0.05,0.25,-0.00017000000000000042,0.11233,0.11216000000000001,63.16,62.615,13.791075000000001,15.890079999999998,-2.0990049999999996,-0.000500809938757186,0.006881101647792426,"(np.float64(3542743660.0), np.float64(3542743660.0))",-0.23210999999999998,0.0013099999999999967,-13.815,-28.49,-0.185,-28.305,-0.012459993127074456,0.00017000000000000042
0.7048650864088019,2,0.11072912891555511,0.4089527452320819,0.05,0.25,-0.0005199999999999991,0.12480000000000001,0.12428,52.43,51.735,5.928885,7.914915,-1.9860299999999995,-8.27316313155306e-05,0.005560090909487752,"(np.float64(409139360.0), np.float64(409139360.0))",-0.5608099999999999,-0.034980000000000004,-31.03,-49.53,-2.665,-46.865,-0.02681363945045832,0.0005199999999999991
0.46353082712009175,2,0.1091347216161009,0.1451426513546463,0.05,0.25,-0.00026000000000000074,0.15128,0.15102,29.31,27.48,1.568505,1.96656,-0.39805499999999994,-0.0014068116163267275,0.014508924862405605,"(np.float64(3640387900.0), np.float64(3640387900.0))",-0.18891,-0.0076599999999999975,-6.06,-10.115,0.215,-10.33,-0.005849145767499912,0.00026000000000000074
0.7902310202061411,2,0.14126880451163856,0.5433390851825063,0.05,0.25,-0.0013299999999999996,0.11648000000000001,0.11515,53.835,51.43,7.045935000000001,8.670905,-1.6249699999999998,0.0008739030907191241,0.005512108405913619,"(np.float64(1926132349.0), np.float64(1926132349.0))",-0.47232,0.016390000000000002,-30.32,-34.22,-1.63,-32.59,0.008813583182265761,0.0013299999999999996
0.43036417375959324,2,0.13191351280935626,0.5334981567908231,0.05,0.25,-0.001880000000000002,0.13246,0.13058,63.67,62.67,14.83596,17.69866,-2.8627,0.0004955596797528138,0.012887888809387554,"(np.float64(491985929.0), np.float64(491985929.0))",-0.33821999999999997,-0.0167,-23.675,-48.18,-1.175,-47.005,-0.03153050983965012,0.001880000000000002
0.6548405577947809,2,0.13722202852209034,0.10020845102145844,0.05,0.25,-0.0034200000000000007,0.13280999999999998,0.12939,8.19,6.97,0.12402,0.17168,-0.047660000000000015,0.0026684222962615202,0.01006777273930441,"(np.float64(281920150.0), np.float64(281920150.0))",-0.042700000000000016,-0.00269,0.21,-0.685,0.425,-1.11,-0.0021657819974800164,0.0034200000000000007
0.3848378460987951,2,0.11154305987622176,0.11145358958014315,0.05,0.25,-0.00023999999999999965,0.16842,0.16817999999999997,28.825,32.15,0.9372400000000001,1.6520350000000001,-0.7147950000000001,-0.0007637160993863027,0.010834867499119535,"(np.float64(2645953453.0), np.float64(2645953453.0))",-0.55727,-0.020560000000000002,-17.4,-24.105,-1.655,-22.45,-0.018731502367275502,0.00023999999999999965
0.7376147576645574,2,0.14879758133949644,0.11209752584414688,0.05,0.25,-0.0038300000000000005,0.12704000000000001,0.12321000000000001,6.84,5.135,0.099205,0.05240500000000001,0.046799999999999994,0.0040008019181340115,0.002779290174254171,"(np.float64(122405703.0), np.float64(122405703.0))",0.021360000000000004,0.00078,2.585,2.745,0.16,2.585,0.000788177339901478,0.0038300000000000005
